id,slug,title,identifier,comment_count,upvote_count,view_count,rating_count,average_rating,post_summary.emotions.overall_sentiment,post_summary.actions.coin_rotation,post_summary.audio_elements.auditory_transcription,post_summary.psycological_view_of_video.trait_one,post_summary.psycological_view_of_video.trait_two,post_summary.psycological_view_of_video.trait_three
378,ae3f00e4865be508c3b882c7ff30dde096759fb1,,aI5zT4Y,0,1,14,5,17,No Data,No Data,No Data,No Data,No Data,No Data
379,fb4416bfa20292830263f1f924c0130dc3382189,,kEkf4yi,0,0,11,5,31,No Data,No Data,No Data,No Data,No Data,No Data
380,89ea21bba5e7aa59e80f5d18c36639cbf769630c,,_KTVpJD,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
381,2090411b327b9ae56d1adc72a50884eefc6b9d0d,,veFZQJh,0,0,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
383,8f4d565b99c60937891bb6d1d939c415d12202ba,,LwpCGNy,0,1,28,6,39,No Data,No Data,No Data,No Data,No Data,No Data
384,26ade8487a22ff1c571d239881a132747a0cdc0e,,mCVAXW-,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
385,37c6d1d5c32868bab41f7ebe4fb6515565d60572,,rKGztKr,0,1,21,6,32,No Data,No Data,No Data,No Data,No Data,No Data
386,210c362e135dd9d2ca4bb5692e97738344246ee7,,4fPrOSG,0,0,18,6,38,No Data,No Data,No Data,No Data,No Data,No Data
387,b6b75961c8d437b37eb5c370dcb8f6ac489a40ea,,XIfe1QI,0,0,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
388,4f4cae0a31c4d58d7b493c4dc0ff7b165639f4d6,,Y7-pRLb,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
389,f10187a8b8cac488a648470312c067e77bf53f2d,,K3EHkB-,0,0,9,5,24,No Data,No Data,No Data,No Data,No Data,No Data
390,5d938746cb30a4a8141e393d932d65e329db0875,,SNY1CfP,0,1,9,5,29,No Data,No Data,No Data,No Data,No Data,No Data
391,030c768f4034e5a4f34bdef292d57cfa2bc08e14,,w26D4J6,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
392,be532d8c56373251f8addcd05f97c242761beacf,,khcllWS,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
393,cc1aed5d23ee1cc995a2320a31f49cf873c757dd,,V42mpR_,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
394,d62d14750bb2a4d0c0b71b7949b9be8c416d8982,,YePWr1E,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
395,e47c4db7a9e2b5260c65d501dfd64929804be8e6,,AM9c07L,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
396,7e6a12acf23039d3e06a797c98b9f3f6525a5bad,,_pIGYPT,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
397,58eb620541f09a4c0578482a6341f94e5e5babcf,,lb5gPWd,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
398,464e1d8e58af5c3721694490dd704ef7005a17a8,,d2QKNIO,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
399,1f89e9f398aa379c2d6b56634d676bf9f163578b,,bLCZkou,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
401,447396aa8e4490cec99dc526a827f742633c9598,,ZeFu5Si,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
403,b5157bcfe13d498d1e9381d13ca46845633f4864,,_03SWmE,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
404,562a591d3d25db82f79dd1b04b6052eb4a06c79e,,-X9VQgf,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
405,22cc8b7a9ecfd58319ffbe63f62da3094cc72bf9,,ypnZI3C,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
406,91276e21ab0a7c3df942cafc19fad7303b531b92,,KS8SGKL,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
407,c216ec0677442dc2faed8c9f1feabdcb2978a27e,,c-XOIWP,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
408,bd6214d8d2e26797688fd915bc04f5d7c9e7fa79,,birDHtz,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
409,b654e12c3defecda8547eff67119fccb2cf4b9eb,,LsuJ3QK,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
410,0d465b6984c9f732c9cdded268fb2edd05d6ba69,,uF6P6MJ,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
411,e417deeb429b1e3f134ed86c2a9adc3565a35b04,,Te7IX8G,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
412,7e3c9a8716c0e3ce4c473ece626889965bdcad64,,-SlJDI5,0,1,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
413,75d13b83dbfd91d2868c24933976c734286b8e1d,,z0ucHkJ,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
414,2f975e8cabeb67111079f1d986a50b9b21f0a732,,3S0n7VR,0,0,16,8,40,No Data,No Data,No Data,No Data,No Data,No Data
415,5732429a21a37388cc9ee8409ed649edc06b3adf,,J9o-n5a,0,5,87,21,21,No Data,No Data,No Data,No Data,No Data,No Data
416,93405a9b2cd3dbb3b9e4ae8b3d340002027dc0df,,mq4uozF,0,1,11,4,31,No Data,No Data,No Data,No Data,No Data,No Data
417,bed37e9cf1905cb438cfc0cb2713926838dde269,,4OfDgGo,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
418,57d5ce2e57908c866facca43cf21f937e60cb75a,,s7YRBJB,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
419,376ba0c06d9282dc1e294bc4c5b907c846bed4ba,,KbZJD6X,0,0,8,5,28,No Data,No Data,No Data,No Data,No Data,No Data
421,2d7ae16008483b974a7543b972d7a3b9a073ea68,,p13AWnT,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
422,6a019c0cc39a938cfc4d60c4af17fc6789110f4b,,NMZF2yP,0,1,39,8,47,No Data,No Data,No Data,No Data,No Data,No Data
423,40e53e70fdc3e4dfa1bf3ed62622ae6a8ac0a5ec,,bWamp3s,0,2,24,4,29,No Data,No Data,No Data,No Data,No Data,No Data
424,f3bea226484ab9b531179270f8e33a029915d289,,TWQ3REm,0,1,10,5,29,No Data,No Data,No Data,No Data,No Data,No Data
425,0bf1b38c19c7ff27f002dbab2c0c1f168f377430,,MxjKt6h,0,1,9,0,0,No Data,No Data,No Data,No Data,No Data,No Data
426,534d6e128242b68c9001b3e079873f07b801e3ce,,XTA-jKr,1,3,23,6,29,No Data,No Data,No Data,No Data,No Data,No Data
427,cbb0c71dca1e9d7a76f2aecf58967b78ba8bf79b,,4Nl0rlA,0,2,16,0,0,No Data,No Data,No Data,No Data,No Data,No Data
428,76817c060ae3cb99d37ab485077c199010a04312,,fb-tM6m,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
430,050952d55734ec6ea145e11d879bbe379af3d7f8,,mywMyw2,0,2,8,0,0,No Data,No Data,No Data,No Data,No Data,No Data
432,9d5fa348f72149fb194e13837485f170a5051cb8,,2GadWlz,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
433,bedece5fec8400f62a270a2f0d2042f1daa77ba5,,lGX58az,0,2,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
434,d70e213db6d11e9f4ea2b8711dc8631764e65c8a,,uOm4QZL,0,2,13,7,33,No Data,No Data,No Data,No Data,No Data,No Data
436,80f26c4375d3e341065d0dc7cf4d2008fc50f714,,FYIJ88k,0,3,23,7,26,No Data,No Data,No Data,No Data,No Data,No Data
437,7067e26878e42fb3f5d5005c6b70f958e1617a89,,Dqwwq0r,0,2,17,3,31,No Data,No Data,No Data,No Data,No Data,No Data
438,7f6fcb0210a1b7a982aee28110645298670e7d4b,,D5kwwlo,0,1,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
439,51798ee61e81985ad53efefe5f960182529dabd8,,zjwAQGo,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
440,a9704abdb29b1ba264d5aae13de7c9e86fbeca06,,0OlRW6M,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
441,dfcf8c2e40767d486f6df62d522a65cb2550cdfb,,Bfii5mv,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
442,5089da531ee86d9e7607a511651a8ca7d0f0cabd,,Wsd7Jyr,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
443,44e7b3a630abc10f972c5529ee69f0dbe567bcc6,,BrAP1fF,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
444,63987e1958f1d0992964ea1b39bc3f221338806e,,F07o9IX,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
445,8af26ee0a34ea6b6d9c83147d7b675250923b3e5,,3nyzF37,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
446,36f08046b9bd23b73dc82395f0ea1f987a306c72,,5V6jZ0u,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
447,0fd681b1abf48a8e67b3d71d89cd2a0eff8fd9eb,,Z6iFLBO,0,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
448,67f522d5f3bc9fdcc777af025b1a7f765146bb09,,uJlBcRV,0,0,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
449,6727581b7416cc45f4cc56cdd165750be5614e0e,,bbg5QkH,1,2,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
451,01eb26965b1b1c5c21f427433381ae2a495e72a7,,rsn2iws,0,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
452,bbfda1b67566c948fd010ae69a56c47c45281196,,5rrQub7,0,2,7,0,0,No Data,No Data,No Data,No Data,No Data,No Data
453,3a721c51c1b41b9cb569ef8288bfe7d1b781ccb0,,TXxSwy1,0,4,15,0,0,No Data,No Data,No Data,No Data,No Data,No Data
454,496aa5087bb74c22e7b39af37d8fbde6a8a62175,,aaFWMVi,0,2,7,0,0,No Data,No Data,No Data,No Data,No Data,No Data
455,529e7d5acd2a9872644d73ebcedcefad0f92fec8,,h_q4P53,0,2,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
456,bde3b99aa7c83859b4aec546e9cbc8b600ecede4,,-ZfCTqb,0,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
457,bfa2375e8135ae165736f2b741fd06b314c6ad8b,,LMR0AdA,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
458,80aa6360d1e9f810d294bcfea2d2a6c62d87804c,,7HTZO4V,0,2,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
459,5bdfedc6aab5b16ce29dec6063f2459b818e5ae2,"Have Faith, and keep moving Forward...",KtldELk,6,8,38,0,0,No Data,No Data,No Data,No Data,No Data,No Data
460,9a921d23637be92c16c7614cd9c4b52e9932b0dc,,GmvkSvC,0,2,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
461,704c21759a742b6f850ccdbc36573a1248fb146d,,iHdJseR,0,3,36,7,27,No Data,No Data,No Data,No Data,No Data,No Data
462,2f6976a7b411d38cbfbfc3662a1a849e2c27e377,,otcV3qb,0,2,12,0,0,No Data,No Data,No Data,No Data,No Data,No Data
463,5e6227347f38ea6d2e7d03b06a41e514aea880ca,,Dk6SdWI,0,1,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
464,3e59196505f914f0325e86ea78623d14c3289939,,yhxaTon,0,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
466,0dc53e032473043c679ea83910b7ce868d6ea111,,Q22_Akp,0,1,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
467,92f4aa8f227443de6f2b0a14f15608ab46c021d9,,711dceu,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
468,10e64a5bb7bf0610569234dc23c8c9e4dd70a29c,,aWMDSL7,0,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
469,100510c498750f47390e3553b89cd8bae2a3427f,,bXNF93v,4,3,54,3,31,No Data,No Data,No Data,No Data,No Data,No Data
470,8925cff505bbcd41ce8106c413e05cd04b2e0fce,,7nj2IWa,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
471,a8a52fa1231d458a7fdb6d75e19fa51e4f0051f5,,qKjoGka,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
472,aca0e430d04c62e23b941525f0eaa658e71422e3,,1THXoIX,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
473,191681671f98352994973ad9f44e3b8cac6227b4,,8RV2oMA,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
474,cc56d6bbf15495bf0fad028a001b7e2495c83931,,hJI-lox,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
475,fc192404301d7397faad6000d2979a7a64d39b75,,FezStIz,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
476,78b648676dfa7cdfbbfe92214c71b6b89c67ab38,,SB-uh6n,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
477,97b54d2c7cd44b648e3747dbc4c6948e97f17a45,,t0EnGcS,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
478,84c3f6815ed970f716cd220c21bab6a94aa63bcb,,d-D2wGo,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
479,386ffa1c5bf97290001696daebe7bb99a20058e7,,xbN2a4X,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
480,4baa6ce9fe87a394e7d386ec44101c08fd2d503e,,aHh3WZ6,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
487,5403a28ed3f40e6452791c17599e6e584918cfff,,fKMAdCI,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
488,1ab62458f79e14b3d579ac61a01ba4e81fa75282,,C84a9cG,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
489,e5f3c2e67ede74dff3a99ac86500c4bb7df97740,,ZPLXjNR,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
490,9945ef9cb9ef1d483480743ff02f32722b043c40,,mbtrQ6R,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
491,787a37a935823da227472fae1d07d24903b40ce1,,XYQPVEF,0,2,64,0,0,No Data,No Data,No Data,No Data,No Data,No Data
492,d5c8e3957f1c33625657ff35306d6fce07e36b37,,w7PJELz,0,0,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
494,99a5f03d63ada3c8a84d9b6b857fe96207d50976,,MRPsQjq,0,2,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
496,9f89a7ba39b337fbe7db55e30aea6caa3b52ee48,,AnQS79K,0,2,14,0,0,No Data,No Data,No Data,No Data,No Data,No Data
497,8e819d4cdc823cf1c6143374c771f14ad9f10f3b,,B3ptUSt,0,2,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
498,b4d2166b321249daaaa1338a1f8a9a49cf33bdf5,,ZL8kfIa,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
499,24e0e0ffa54bd892b1ea0140805d306c2daf8c11,,FntrJbI,0,2,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
500,ecea4e8f48adff575f7cad3ffca51e03648ff540,,4Yb7jJy,0,0,9,0,0,No Data,No Data,No Data,No Data,No Data,No Data
501,f2af8ad001c6ca666d68461d4afe69f5c7a96a2e,,vI-zOO_,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
502,d432af6b4f757eadc7756a651eeba85d979ac1d5,,xpWpxsp,2,0,9,0,0,No Data,No Data,No Data,No Data,No Data,No Data
503,4391e060731973c1baa235452f97704c3e8206a0,,bcspPZz,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
504,4b91f11ffa1f336a3632f835f1c6694b99cab1b5,,eyiLdVI,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
505,521fbedc8b7a620f178d020c6d6d2c73bf22b463,,pyPzFDB,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
506,cdd27d76d7a047453385d5e8b3cf8c98af5a7aa4,,_-48N91,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
507,449c352f9e63bfbfcb9b1832c9de5c9e782d92cf,,rcjuZCd,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
508,e6eaed767d1f68d0ea6887eb78eef5cef4331c0e,,MrKQO2u,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
509,cbdcef1be8d95d059aae58e87ec5f2dc5d8a7ad9,,jyiHlCR,0,0,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
510,d6e38bdf019ab0cefb1cc7f286ecbc04285a8242,,ORchn5D,0,0,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
511,e301e2d484ffe9a5780ddd04adf28b2942e70c88,,MQ8UTPp,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
512,a828d3ed4d63d2a1f87c8edae54d0d22c7e0425b,,TVOLR5G,0,2,45,11,26,No Data,No Data,No Data,No Data,No Data,No Data
513,824a19b58463c87a50c7389cfcd5f3258993a707,,t54Kg6z,2,1,38,6,27,No Data,No Data,No Data,No Data,No Data,No Data
514,09389a8cff164b1c00185833d8a1602917d6a1a2,,XhCGZJ2,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
515,e94a3b2e53302b8b2e31ba85fc79d874a70b3ec9,,awCQKWZ,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
516,fbb20415c36ec3c764ff22faecadeb362ffa4d65,,wZELnu4,0,1,61,20,15,No Data,No Data,No Data,No Data,No Data,No Data
517,7f3d340dc34b1b7b9a792a3ecceb8980fd42332d,,umEL7yG,2,1,41,4,48,No Data,No Data,No Data,No Data,No Data,No Data
518,2c041f6a2952e8c48ce20492ef1ba6ce96414ca9,,Ka9Vmwr,1,0,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
519,5766b4fa3f8067e1b5c2e44bce8c668523cb9f0f,,3n83Tfr,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
520,e434733059b8bcc1aa1910a64b84086ebc907ded,,6R72Ib0,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
521,04392537e36a8a8f1bc25569459ecda11a2dce38,,XIxJ3ra,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
522,d270d74c79c9171bad1a394089d23b6b85584420,,Q6v6tOC,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
523,a0c5e4545533d15b97ce4175c66da87b459da87e,,qw9ri7e,0,0,8,0,0,No Data,No Data,No Data,No Data,No Data,No Data
524,8db6b0c098a1a6e1ae06fa34cf8bf85336dae9e1,,aHOXKkW,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
525,401067c624137ac370ceebc9943b7856e642df32,,-CiXi_y,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
526,4a2575e7a4bc25b23217af2c1b45fca301873e3c,,3j01-6E,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
527,5698a3dc6820cc08a886e44738cfda50269b593a,,M8Wn4eA,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
528,625a2b8cb9f7c82e6fa3c1594fdc980c57a1af22,,gvWRml5,1,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
530,c002f8fefb5c78eee77d4b3d1ac356957c5154fd,,7tLe-Y3,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
531,6c81f0aa9ed64bc1e0c9c3a201b779d2ccd010bc,,_o_--KV,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
532,4233fc118a9320e8bc6b6fc1644737e07bafe0ae,,Y39WFKe,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
533,a91423f165dc47fe0fd79b8fa069ed017e2a76f3,,MVgKJg-,1,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
534,b65c582bc0f050e904478971b1fcbd204d5c1659,,46rBDvN,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
535,79ec0143bc3b37ea4939856ae44924d0ffe5998f,,IeIbsL6,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
536,41c6202b3de026553db364aa0bf745007079ed54,,9fHLciI,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
537,ddd12b093b88b086107788cc82bad5a1fd751c95,,X7OJhxj,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
538,e9151a95ee6f47549ac9abb4b7af2482e91da9ed,,DOfy-SB,0,1,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
540,f5bb3aa40395b709fa055534a23853321a9fb38f,,b9-hVf3,1,5,111,40,8,No Data,No Data,No Data,No Data,No Data,No Data
546,6a2bab51ec997af4594dc4427e5ef317deee3cd7,,xOwwRi0,1,5,51,4,37,No Data,No Data,No Data,No Data,No Data,No Data
547,6a13c922f4e05f51c655a9af4980252d570908a3,,o0N-yCu,0,2,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
548,a1d8a33817f401973e7c33ed49b5a59871f2293b,,amZ8tc1,0,1,63,5,37,No Data,No Data,No Data,No Data,No Data,No Data
549,a1de3106a3bf87ccce55773bafb8c6d99c2cda2f,,UZ4JlEO,0,8,171,43,6,No Data,No Data,No Data,No Data,No Data,No Data
551,3f74f594232bbd4951f63eabd3e59d31584d5bb1,,pOmegue,1,3,88,12,22,No Data,No Data,No Data,No Data,No Data,No Data
556,910603706a7b71a6bcdaf6e814882aa0be39d9df,,4kSDihR,0,1,10,0,0,No Data,No Data,No Data,No Data,No Data,No Data
558,e931cf2e8ae2c626a164b68fee13eab4059b9431,,DROzh9u,3,4,107,8,34,No Data,No Data,No Data,No Data,No Data,No Data
560,9c297f4edcb9eecb8d421b7bf2b80705a4930303,,onAXPlT,1,13,288,53,9,No Data,No Data,No Data,No Data,No Data,No Data
563,0e94b6f5f9efad48313416650c99fd880919ac1e,,hhamKhd,1,2,16,0,0,No Data,No Data,No Data,No Data,No Data,No Data
569,66568d15bb9832081c1eaabfdeaddc213770dfde,,CLpiOA6,0,0,10,0,0,No Data,No Data,No Data,No Data,No Data,No Data
570,21956aad071c8af89ed443ae3b654d1e8c7d6477,,P8Kua7U,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
571,8fc5b31bb78e9a10e7aecf6abb8cbcba59e9ec1d,,IZZwtL_,1,0,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
572,d081bc546f09574a4273bbc001e9cb54ada0e089,,gLKpN6I,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
573,f217b908c77497007367b36dd946e2d56842b927,,DBTt9TS,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
574,988fc9ad05098458264a4e83e8751d946eaf062f,,NRO7XBd,0,0,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
575,cfce28e5e48b643a4ee8c359987f32aa2f992ae6,,oaAqKeE,1,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
576,681a589f8eef0d220421cabeb6651d6759db8c19,,nszctVJ,2,2,7,0,0,No Data,No Data,No Data,No Data,No Data,No Data
577,05050ac9a436779a8022aaf3e00223fdcf0c3481,,MbZ4mIS,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
578,29169e257b248d7fad83b0e74ee2596d9f49fca3,,ZEndVpR,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
579,55277696af02a3a8214193b7a2d5d31eaacce60b,,UtgJ1YW,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
580,64c95e1bf71b975457522cd02f024f08bd1e9e6d,,-njs1rM,0,2,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
583,cdcd8f4f43dd76a8010ac6f3de0d5b585680a689,,CFhfUAX,2,6,105,6,53,No Data,No Data,No Data,No Data,No Data,No Data
586,6bee301af52c07c21e3bc272293ffd388d3279bf,,MXY3pd2,1,7,39,0,0,No Data,No Data,No Data,No Data,No Data,No Data
588,afd609b53ce1992c391b8527db9930fe1711ca04,,lF_hbrD,3,2,46,0,0,No Data,No Data,No Data,No Data,No Data,No Data
590,8b2dc9762d75ecc8859f8a167a85bd198d5cdfcd,,QlpQCRg,5,11,146,7,35,No Data,No Data,No Data,No Data,No Data,No Data
595,c8b4873b76655f2a672d41a3695f753c6a674a40,,E8lnnt_,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
601,24a8ebe84d65d62e3b6b3bb66aa48adcf23426a3,,RNUNKxH,0,2,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
602,0dea539b62addc18f8c3b32a345abb6a2ee283d7,,FQa6EzS,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
603,a1c8dc2e688a7e329e613c89c3bfbb0187193378,,k-9A1hW,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
604,c8fb53365455a32a9cca0d7f56a5bbd7503d8fc4,,huT0rmi,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
605,505208194016da8036922d3c99c82fcf3db065f7,,RPOkjdI,0,2,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
606,5f37f00782fbb0798e8253a6d5e00ae4a9a085b8,,nWyWmjP,0,3,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
607,c9b84d8c11385690e70a9c36d1bb3d71aace2e70,,_0Mn9ll,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
608,cbffa2f2329455b89d953684860e2eec4923a7be,,7P9RzrX,0,2,12,0,0,No Data,No Data,No Data,No Data,No Data,No Data
609,059764f130c90867941ad9deba3bd7d070330fbd,,FYeeJ9Y,0,1,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
610,ec93c37911f723a5c8405f6e685bd06c4d90f4f8,,HuF9PPZ,0,1,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
611,42847a1bb24c59e95b684236ac1e242daeb388e7,,w0WXxb4,0,0,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
612,ca98ec7ac1bd335354ac0249424fd50522b4849a,,LC5sWgB,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
613,5155650bcbd135b0e9af75e1b9920f26f09fe177,,PmgCunh,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
614,a7d4810beac23a1b10647ed0e38f77785ffe83f6,,tQu1LyB,0,1,10,0,0,No Data,No Data,No Data,No Data,No Data,No Data
616,16ac8e55aa2a527ab0956adf57bef75bcdb31c04,,0XuihiZ,0,2,11,0,0,No Data,No Data,No Data,No Data,No Data,No Data
617,7815cb5696fe85cc6ab5428955c378632c3b3e44,,wiX9926,2,1,15,0,0,No Data,No Data,No Data,No Data,No Data,No Data
618,2e3612b400ba6d57264b802ac4724723b3277929,,ylZzeti,1,3,8,0,0,No Data,No Data,No Data,No Data,No Data,No Data
619,f5556f93ef84e47855dc78a731017333ef727341,,SVZMP5A,2,3,17,0,0,No Data,No Data,No Data,No Data,No Data,No Data
620,f4f756f68b535c08924ecf4bb2d1b73e8cf6666c,,kHmk59F,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
621,45b201b83e144db083d1cae0f9d3d8de913a446c,,Of6L1Nt,0,0,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
622,f18725fadb59fa1daea61040e1ba7f5e825920aa,,Nasf90s,0,0,7,0,0,No Data,No Data,No Data,No Data,No Data,No Data
